EmpID,FirstName,LastName,StartDate,ExitDate,Role,Supervisor,ADEmail,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating
3551,emery,roach,8/11/2018,,store manager,victoria bailey,emery.roach@bilearner.com,active,part-time,zone c,part-time,unk,not applicable,Retail,Store Operations,7/4/1954,tx,Management,male,81142,black,married,needs improvement,4
3435,jac,mckinzie,8/18/2018,,store manager,sharon becker,jac.mckinzie@bilearner.com,active,contract,zone b,part-time,unk,not applicable,Retail,Store Operations,5/15/1974,tx,Management,male,78789,black,widowed,exceeds,3
2712,helen,humphrey,8/19/2018,,store manager,richard henry,helen.humphrey@bilearner.com,active,full-time,zone a,full-time,unk,not applicable,Retail,Store Operations,7/8/1992,ny,Management,male,42080,other,married,fully meets,1
3484,albert,gonzalez,8/29/2018,,store manager,amber hernandez,albert.gonzalez@bilearner.com,active,part-time,zone b,full-time,unk,not applicable,Retail,Store Operations,7/18/1995,co,Management,male,64036,other,single,fully meets,4
3534,lee,frye,9/14/2018,,store manager,sonia diaz,lee.frye@bilearner.com,active,full-time,zone a,full-time,unk,not applicable,Retail,Store Operations,8/16/1959,ky,Management,female,97002,asian,single,fully meets,4
2621,laura,bullock,9/14/2018,,store manager,mr. benjamin lucas,laura.bullock@bilearner.com,active,part-time,zone b,temporary,unk,not applicable,Retail,Store Operations,8/6/1942,az,Management,male,57305,white,single,fully meets,2
2705,lea,cantu,11/4/2018,,store manager,donna hurst,lea.cantu@bilearner.com,active,full-time,zone b,temporary,unk,not applicable,Retail,Store Operations,10/24/2000,az,Management,female,57908,hispanic,divorced,fully meets,2
3290,jaiden,middleton,8/7/2018,,staff,jeffery baker,jaiden.middleton@bilearner.com,active,part-time,zone a,full-time,unk,not applicable,General Staff,Various Departments,12/7/1995,ma,Operational Support,male,60198,other,single,fully meets,3
2911,estrella,ho,8/7/2018,,staff,kenneth moore,estrella.ho@bilearner.com,active,part-time,zone a,full-time,unk,not applicable,General Staff,Various Departments,12/17/1952,ma,Operational Support,male,3468,asian,divorced,exceeds,2
1892,saniya,buck,8/7/2018,,staff,nicholas anderson,saniya.buck@bilearner.com,active,contract,zone a,temporary,unk,not applicable,General Staff,Various Departments,5/30/1986,ma,Operational Support,female,91219,asian,single,fully meets,3
2168,rashad,mayo,8/8/2018,,staff,denise roach,rashad.mayo@bilearner.com,active,part-time,zone b,full-time,unk,not applicable,General Staff,Various Departments,1/16/1995,ma,Operational Support,female,26000,black,divorced,exceeds,3
